QuestionText,Values Text,Total,"Age - 18-34
(Millennial)","Age - 35+
(Non-Millennial)",NOY - 0-5,NOY - 6-20,NOY - 21+,Res - Yes,Res - No,Central - Yes,Central - No
Q28. Why do you believe your child/children are not getting a public education commensurate with your financial investment? (Select all that apply),Educational opportunities aren't adequate,0.68,0.76,0.64,0.85,0.69,0.64,0.72,0.63,0.75,0.67
Q28. Why do you believe your child/children are not getting a public education commensurate with your financial investment? (Select all that apply),The facilities are run down/need improvement,0.38,0.42,0.36,0.49,0.3,0.4,0.52,0.23,0.54,0.35
Q28. Why do you believe your child/children are not getting a public education commensurate with your financial investment? (Select all that apply),Costs too much,0.25,0.16,0.3,0,0.46,0.21,0.22,0.29,0.12,0.28
Q28. Why do you believe your child/children are not getting a public education commensurate with your financial investment? (Select all that apply),The schools my child/children attend aren't safe,0.22,0.23,0.21,0,0.03,0.36,0.32,0.1,0.27,0.21
Q28. Why do you believe your child/children are not getting a public education commensurate with your financial investment? (Select all that apply),Other,0.11,0.02,0.16,0.07,0.09,0.13,0.08,0.15,0.13,0.11
"Q29. If financially feasible, would you send your child/children to private school (a school established by a private group rather than by a government entity, usually charging tuition and often guided by a particular philosophy or viewpoint) instead of public school?","Yes, my child/children currently attend private school",0.11,0.12,0.1,0.04,0.04,0.17,0.07,0.13,0.06,0.11
"Q29. If financially feasible, would you send your child/children to private school (a school established by a private group rather than by a government entity, usually charging tuition and often guided by a particular philosophy or viewpoint) instead of public school?","Yes, I would send them to private school",0.49,0.64,0.39,0.61,0.4,0.52,0.55,0.45,0.5,0.49
"Q29. If financially feasible, would you send your child/children to private school (a school established by a private group rather than by a government entity, usually charging tuition and often guided by a particular philosophy or viewpoint) instead of public school?",No,0.26,0.14,0.35,0.14,0.36,0.24,0.27,0.26,0.32,0.26
"Q29. If financially feasible, would you send your child/children to private school (a school established by a private group rather than by a government entity, usually charging tuition and often guided by a particular philosophy or viewpoint) instead of public school?",Unsure,0.14,0.1,0.16,0.21,0.2,0.07,0.1,0.16,0.12,0.14
Q30. A charter school is a school that receives public funding but operates independently of the established public school system in its area. Would you send your child/children to a charter school?,"Yes, my child/children currently attend a charter school",0.07,0.08,0.05,0.06,0.04,0.08,0.08,0.06,0.07,0.07
Q30. A charter school is a school that receives public funding but operates independently of the established public school system in its area. Would you send your child/children to a charter school?,"Yes, I would consider/am considering sending them to a charter school",0.53,0.51,0.54,0.55,0.43,0.59,0.56,0.51,0.48,0.54
Q30. A charter school is a school that receives public funding but operates independently of the established public school system in its area. Would you send your child/children to a charter school?,No,0.28,0.24,0.3,0.15,0.39,0.25,0.27,0.28,0.4,0.26
Q30. A charter school is a school that receives public funding but operates independently of the established public school system in its area. Would you send your child/children to a charter school?,Unsure,0.13,0.16,0.1,0.24,0.14,0.08,0.09,0.16,0.06,0.14
Q31. Did the schools in your neighborhood influence where you and your family chose to buy or rent a place to live?,"Yes, definitely",0.4,0.39,0.41,0.33,0.45,0.4,0.39,0.41,0.45,0.4
Q31. Did the schools in your neighborhood influence where you and your family chose to buy or rent a place to live?,"Yes, somewhat",0.2,0.17,0.22,0.36,0.19,0.15,0.15,0.24,0.14,0.21
Q31. Did the schools in your neighborhood influence where you and your family chose to buy or rent a place to live?,Not really,0.27,0.32,0.24,0.12,0.27,0.31,0.27,0.27,0.2,0.28
Q31. Did the schools in your neighborhood influence where you and your family chose to buy or rent a place to live?,Definitely not,0.09,0.06,0.11,0.14,0.05,0.09,0.15,0.04,0.15,0.08
Q31. Did the schools in your neighborhood influence where you and your family chose to buy or rent a place to live?,Unsure,0.04,0.06,0.03,0.04,0.03,0.04,0.04,0.04,0.06,0.04
Q32. Do you support state vouchers that would allow public school students to channel public funding to the private school of their choice?,"Yes, definitely",0.32,0.43,0.25,0.15,0.26,0.42,0.29,0.35,0.31,0.33
Q32. Do you support state vouchers that would allow public school students to channel public funding to the private school of their choice?,"Yes, somewhat",0.22,0.16,0.25,0.17,0.28,0.19,0.2,0.23,0.17,0.23
Q32. Do you support state vouchers that would allow public school students to channel public funding to the private school of their choice?,Not really,0.16,0.15,0.16,0.12,0.16,0.16,0.17,0.15,0.21,0.15
Q32. Do you support state vouchers that would allow public school students to channel public funding to the private school of their choice?,Definitely not,0.13,0.04,0.18,0.07,0.17,0.12,0.19,0.08,0.21,0.11
Q32. Do you support state vouchers that would allow public school students to channel public funding to the private school of their choice?,Unsure,0.18,0.22,0.15,0.5,0.13,0.11,0.15,0.2,0.1,0.19
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Musical,0.94,0.93,0.95,0.94,0.97,0.92,0.94,0.94,0.95,0.94
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Active,0.9,0.9,0.9,0.93,0.92,0.87,0.93,0.87,0.97,0.88
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Artistic,0.89,0.89,0.89,0.9,0.9,0.88,0.91,0.87,0.95,0.87
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Creative,0.89,0.88,0.89,0.88,0.91,0.88,0.91,0.86,0.93,0.88
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Technologically sophisticated,0.87,0.84,0.88,0.84,0.88,0.88,0.9,0.84,0.91,0.86
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Innovative,0.82,0.82,0.82,0.82,0.85,0.81,0.87,0.77,0.89,0.8
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Entrepreneurial,0.81,0.78,0.82,0.83,0.81,0.79,0.84,0.77,0.88,0.78
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Environmentally friendly,0.79,0.79,0.8,0.77,0.81,0.79,0.85,0.74,0.85,0.78
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Young,0.77,0.84,0.74,0.8,0.79,0.75,0.8,0.75,0.87,0.74
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Liberal,0.75,0.75,0.76,0.8,0.74,0.74,0.78,0.73,0.81,0.74
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Culturally diverse,0.74,0.77,0.73,0.79,0.68,0.76,0.72,0.76,0.72,0.75
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Laid back,0.72,0.79,0.68,0.74,0.73,0.7,0.74,0.69,0.77,0.7
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Hipsterish,0.71,0.81,0.66,0.8,0.7,0.68,0.77,0.65,0.84,0.67
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Weird,0.69,0.74,0.66,0.7,0.66,0.69,0.68,0.69,0.7,0.68
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Philanthropic,0.55,0.59,0.53,0.54,0.54,0.56,0.55,0.54,0.62,0.53
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Segregated,0.45,0.42,0.46,0.38,0.5,0.44,0.54,0.37,0.62,0.4
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Narcissistic,0.42,0.4,0.43,0.44,0.37,0.43,0.45,0.38,0.5,0.39
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Spiritual,0.39,0.46,0.35,0.4,0.37,0.4,0.42,0.36,0.39,0.39
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Unequal,0.32,0.29,0.33,0.22,0.31,0.37,0.36,0.27,0.45,0.28
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Religious,0.29,0.26,0.31,0.23,0.27,0.34,0.28,0.31,0.26,0.3
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Conservative,0.25,0.25,0.25,0.17,0.25,0.29,0.26,0.24,0.21,0.26
Q33. How much do you agree or disagree that the following characteristics describe the City of Austin? (Reporting Strongly/Somewhat Agree),Affordable,0.24,0.32,0.2,0.33,0.23,0.21,0.22,0.26,0.25,0.24
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Laid back,0.75,0.83,0.71,0.77,0.69,0.77,0.78,0.72,0.83,0.72
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Environmentally friendly,0.74,0.72,0.75,0.71,0.71,0.78,0.78,0.71,0.77,0.73
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Active,0.69,0.75,0.65,0.7,0.7,0.67,0.7,0.67,0.74,0.67
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Creative,0.65,0.73,0.6,0.69,0.63,0.64,0.67,0.62,0.71,0.63
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Technologically sophisticated,0.62,0.7,0.58,0.65,0.59,0.63,0.65,0.6,0.67,0.61
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Spiritual,0.56,0.5,0.59,0.52,0.53,0.59,0.53,0.58,0.46,0.59
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Innovative,0.52,0.6,0.48,0.55,0.51,0.52,0.56,0.48,0.64,0.49
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Liberal,0.5,0.57,0.47,0.52,0.47,0.52,0.63,0.39,0.73,0.44
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Artistic,0.46,0.57,0.39,0.47,0.42,0.48,0.5,0.41,0.52,0.44
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Religious,0.45,0.41,0.48,0.41,0.43,0.49,0.43,0.47,0.33,0.49
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Musical,0.45,0.58,0.38,0.46,0.45,0.45,0.5,0.41,0.51,0.43
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Conservative,0.43,0.39,0.45,0.42,0.44,0.43,0.35,0.51,0.27,0.48
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Weird,0.4,0.57,0.31,0.48,0.32,0.41,0.45,0.35,0.53,0.36
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Young,0.4,0.82,0.17,0.57,0.32,0.37,0.49,0.31,0.57,0.35
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Entrepreneurial,0.37,0.43,0.34,0.41,0.36,0.37,0.4,0.35,0.43,0.36
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Philanthropic,0.37,0.38,0.36,0.33,0.36,0.39,0.4,0.34,0.42,0.35
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Hipsterish,0.19,0.3,0.13,0.24,0.14,0.2,0.21,0.17,0.26,0.17
Q34. How much do you agree or disagree that the following characteristics describe yourself? (Reporting Strongly/Somewhat Agree),Narcissistic,0.14,0.21,0.1,0.2,0.11,0.13,0.15,0.12,0.19,0.12
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),The Texas State Capitol,0.51,0.51,0.52,0.53,0.55,0.49,0.53,0.5,0.5,0.52
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),University of Texas Tower,0.37,0.33,0.38,0.32,0.36,0.39,0.41,0.33,0.4,0.36
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),6th Street,0.32,0.39,0.29,0.44,0.36,0.25,0.32,0.33,0.29,0.33
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Zilker Park,0.23,0.26,0.21,0.21,0.17,0.27,0.26,0.2,0.28,0.21
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Lady Bird Lake/Town Lake and Butler Hike,0.22,0.27,0.19,0.24,0.2,0.22,0.25,0.18,0.3,0.19
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Barton Springs Pool,0.19,0.15,0.21,0.15,0.12,0.25,0.2,0.17,0.25,0.17
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Ann W. Richards Congress Avenue Bridge (Bat Bridge),0.18,0.14,0.2,0.21,0.2,0.16,0.2,0.16,0.16,0.18
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Darrell K Royal Texas Memorial Stadium,0.15,0.16,0.14,0.12,0.11,0.18,0.12,0.18,0.1,0.16
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Pennybacker/360 Bridge,0.13,0.12,0.14,0.05,0.18,0.14,0.12,0.15,0.09,0.14
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Lake Travis,0.12,0.09,0.13,0.12,0.14,0.1,0.06,0.17,0.03,0.14
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Frost Bank Tower,0.07,0.1,0.06,0.08,0.1,0.05,0.08,0.07,0.1,0.07
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Mount Bonnell,0.07,0.07,0.07,0.05,0.05,0.09,0.04,0.09,0.06,0.07
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Stevie Ray Vaughan Statue,0.06,0.05,0.07,0.04,0.06,0.08,0.06,0.07,0.06,0.07
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),The Bullock Texas State History Museum,0.05,0.03,0.05,0.01,0.04,0.06,0.05,0.04,0.03,0.05
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),The Driskill Hotel,0.04,0.02,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),The Moody Theater (ACL Live),0.02,0.01,0.03,0.02,0.04,0.02,0.03,0.02,0.03,0.02
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Graffiti Park at Castle Hills (Baylor Street),0.02,0.05,0.01,0.03,0.03,0.02,0.03,0.01,0.04,0.02
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Texas Governor's Mansion,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0,0.02
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Long Center,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),Rainey Street,0.02,0.03,0.01,0.03,0.01,0.01,0.03,0,0.03,0.01
Q35. Which three landmarks do you most strongly associate with Austin? (Select up to three),LBJ Presidential Library,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0,0.02
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),The University of Texas at Austin,0.61,0.59,0.62,0.65,0.54,0.63,0.62,0.6,0.59,0.61
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Austin City Limits Music Festival,0.5,0.47,0.52,0.55,0.49,0.49,0.48,0.52,0.51,0.5
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),SXSW (South by Southwest),0.46,0.46,0.46,0.53,0.5,0.4,0.46,0.46,0.44,0.47
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Dell,0.32,0.2,0.38,0.3,0.37,0.29,0.26,0.37,0.23,0.34
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Whole Foods Market,0.31,0.29,0.33,0.32,0.37,0.28,0.32,0.31,0.38,0.29
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Alamo Drafthouse Cinema,0.29,0.35,0.26,0.3,0.35,0.26,0.3,0.29,0.28,0.3
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Capital City of Texas,0.29,0.23,0.32,0.27,0.3,0.29,0.29,0.29,0.29,0.29
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Amy's Ice Creams,0.19,0.23,0.16,0.16,0.15,0.22,0.24,0.13,0.23,0.17
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Broken Spoke Dance Hall,0.16,0.08,0.21,0.12,0.11,0.22,0.14,0.18,0.12,0.18
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Chuy's,0.15,0.16,0.14,0.12,0.17,0.14,0.13,0.17,0.11,0.16
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Torchy's Tacos,0.15,0.25,0.09,0.24,0.15,0.11,0.22,0.08,0.24,0.12
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Kerbey Lane Cafe,0.11,0.15,0.09,0.17,0.11,0.09,0.12,0.1,0.12,0.11
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Waterloo Records,0.1,0.07,0.12,0.07,0.1,0.12,0.12,0.09,0.14,0.09
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Formula One United States Grand Prix (at Circuit of the Americas),0.1,0.06,0.12,0.08,0.12,0.09,0.08,0.11,0.05,0.11
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Tito's Handmade Vodka,0.09,0.09,0.09,0.1,0.12,0.07,0.09,0.09,0.13,0.08
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Threadgill's,0.08,0.04,0.09,0.04,0.06,0.11,0.09,0.07,0.09,0.07
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),BookPeople,0.07,0.08,0.06,0.07,0.06,0.07,0.1,0.04,0.14,0.05
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Matt's El Rancho,0.06,0.02,0.09,0.02,0.04,0.1,0.07,0.06,0.08,0.06
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Republic of Texas Biker Rally,0.04,0.02,0.05,0.01,0.02,0.06,0.03,0.05,0.03,0.04
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Schlotzsky's,0.04,0.05,0.04,0.03,0.03,0.05,0.03,0.05,0.01,0.05
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Deep Eddy Vodka,0.03,0.06,0.02,0.03,0.04,0.03,0.05,0.02,0.06,0.02
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Juan in a Million,0.03,0.04,0.02,0.01,0.04,0.03,0.03,0.03,0.03,0.03
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),AMD (Advanced Micro Devices),0.03,0.01,0.04,0.01,0.01,0.04,0.02,0.04,0.03,0.03
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Sweet Leaf Tea Company,0.03,0.04,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),El Arroyo,0.02,0.02,0.02,0,0.01,0.04,0.02,0.02,0.02,0.02
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Tacodeli,0.02,0.05,0.01,0.03,0.04,0.01,0.03,0.01,0.04,0.01
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),McBride's Guns,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0,0.02
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Austin Aztex,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Sup ATX,0.01,0.01,0.01,0,0,0.01,0.01,0,0.02,0
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Love Puppies Brownies,0.01,0.01,0,0.01,0,0.01,0.01,0,0.02,0
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),LaRue Tactical,0,0,0,0,0,0,0,0,0,0
Q36. Which of the following brands do you think are most representative for Austin's identity? (Select up to five),Other,0,0.01,0,0.01,0.01,0,0,0.01,0,0.01
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,Stronger economy,0.42,0.35,0.45,0.37,0.51,0.37,0.42,0.41,0.51,0.39
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,More diversity,0.22,0.27,0.19,0.3,0.18,0.2,0.23,0.2,0.21,0.22
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,More creativity,0.07,0.11,0.04,0.1,0.03,0.07,0.04,0.09,0.05,0.07
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,Stronger sense of community,0.04,0.06,0.02,0.04,0.04,0.04,0.04,0.04,0.03,0.04
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,Mass transit,0.07,0.08,0.06,0.05,0.06,0.09,0.08,0.06,0.04,0.08
Q37. Which one of the following do you consider the top thing Austin has gained due to its growth over the past five years?,None of the above,0.19,0.13,0.23,0.14,0.18,0.23,0.2,0.19,0.16,0.2
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Lower cost of living,0.31,0.37,0.27,0.32,0.31,0.3,0.35,0.26,0.37,0.29
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Ease of transportation,0.23,0.21,0.24,0.27,0.24,0.2,0.17,0.29,0.19,0.24
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Less congested roads,0.23,0.21,0.24,0.26,0.27,0.19,0.21,0.24,0.16,0.24
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Small town feel,0.14,0.11,0.15,0.09,0.1,0.18,0.15,0.13,0.17,0.13
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Green space,0.03,0.04,0.03,0.02,0.03,0.04,0.04,0.03,0.03,0.03
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Stable neighborhoods,0.03,0.02,0.03,0.01,0.03,0.03,0.03,0.02,0.04,0.02
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,Historic homes throughout Austin,0.02,0.02,0.02,0.01,0,0.03,0.03,0.01,0.02,0.02
Q38. Which one of the following do you consider the top thing Austin has lost due to its growth over the past five years?,None of the above,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.03
Q39. Which one of the following cities do you believe Austin is most similar to?,Portland,0.21,0.24,0.19,0.25,0.25,0.16,0.27,0.15,0.32,0.17
Q39. Which one of the following cities do you believe Austin is most similar to?,Seattle,0.14,0.09,0.16,0.11,0.13,0.15,0.11,0.16,0.13,0.14
Q39. Which one of the following cities do you believe Austin is most similar to?,San Francisco,0.13,0.15,0.12,0.16,0.15,0.11,0.12,0.14,0.1,0.14
Q39. Which one of the following cities do you believe Austin is most similar to?,San Antonio,0.11,0.14,0.09,0.04,0.12,0.14,0.1,0.12,0.06,0.13
Q39. Which one of the following cities do you believe Austin is most similar to?,Dallas,0.1,0.11,0.1,0.06,0.09,0.12,0.09,0.11,0.09,0.1
Q39. Which one of the following cities do you believe Austin is most similar to?,Nashville,0.09,0.06,0.11,0.12,0.08,0.09,0.09,0.1,0.1,0.09
Q39. Which one of the following cities do you believe Austin is most similar to?,Houston,0.07,0.07,0.07,0.05,0.05,0.1,0.05,0.09,0.03,0.08
Q39. Which one of the following cities do you believe Austin is most similar to?,Raleigh,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02
Q39. Which one of the following cities do you believe Austin is most similar to?,Boston,0.02,0.01,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.03
Q39. Which one of the following cities do you believe Austin is most similar to?,New York City,0.02,0.04,0,0.05,0.01,0.01,0.03,0.01,0.03,0.01
Q39. Which one of the following cities do you believe Austin is most similar to?,"Washington, D.C.",0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.02
Q39. Which one of the following cities do you believe Austin is most similar to?,Other,0.07,0.06,0.08,0.07,0.06,0.08,0.08,0.06,0.09,0.06
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",San Antonio,0.27,0.33,0.24,0.34,0.24,0.27,0.28,0.27,0.26,0.28
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",Further away from Austin,0.23,0.1,0.29,0.15,0.19,0.28,0.18,0.27,0.16,0.25
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",Dallas/Ft. Worth,0.17,0.23,0.14,0.18,0.19,0.16,0.19,0.15,0.2,0.16
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",Houston,0.1,0.15,0.08,0.13,0.15,0.07,0.13,0.08,0.16,0.09
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",El Paso,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.01
"Q40. If you had to move somewhere else in Texas, which one of the following cities/areas would you prefer to move to?",Other,0.2,0.17,0.22,0.18,0.2,0.22,0.2,0.21,0.2,0.21
"Q41. Is Austin more a town of the past, present or future?",Past,0.08,0.07,0.09,0.09,0.08,0.09,0.09,0.08,0.05,0.09
"Q41. Is Austin more a town of the past, present or future?",Present,0.41,0.45,0.39,0.45,0.42,0.39,0.41,0.41,0.48,0.39
"Q41. Is Austin more a town of the past, present or future?",Future,0.37,0.36,0.37,0.38,0.35,0.37,0.37,0.36,0.31,0.38
"Q41. Is Austin more a town of the past, present or future?",Unknown,0.14,0.12,0.15,0.08,0.14,0.16,0.13,0.14,0.15,0.13
"Q42. If you were in charge of Austin, what would your main plan for the city be?",Build for the future,0.58,0.62,0.56,0.59,0.67,0.52,0.57,0.59,0.53,0.59
"Q42. If you were in charge of Austin, what would your main plan for the city be?",Protect Austin as it is now,0.21,0.2,0.22,0.26,0.2,0.2,0.21,0.21,0.27,0.2
"Q42. If you were in charge of Austin, what would your main plan for the city be?",Return Austin to how it was in the past,0.21,0.18,0.22,0.15,0.13,0.28,0.22,0.2,0.2,0.21
Q43. What slogan best represents the Austin of today?,“Keep Austin Weird”,0.29,0.37,0.26,0.44,0.23,0.27,0.32,0.27,0.28,0.3
Q43. What slogan best represents the Austin of today?,“Live Music Capital of the World”,0.26,0.26,0.27,0.22,0.27,0.28,0.21,0.31,0.2,0.28
Q43. What slogan best represents the Austin of today?,There's no one slogan that best represents the Austin of today,0.22,0.18,0.25,0.16,0.26,0.23,0.23,0.22,0.27,0.21
Q43. What slogan best represents the Austin of today?,“Don't Dallas My Austin”,0.1,0.12,0.08,0.07,0.1,0.1,0.14,0.06,0.16,0.08
Q43. What slogan best represents the Austin of today?,“Bat City”,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01
Q43. What slogan best represents the Austin of today?,I don't know,0.07,0.04,0.09,0.08,0.07,0.07,0.05,0.1,0.03,0.09
Q43. What slogan best represents the Austin of today?,I have my own,0.04,0.03,0.05,0.03,0.06,0.04,0.05,0.04,0.06,0.04
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Transportation (e.g., Speed and efficiency)",1st Priority,0.56,0.48,0.61,0.53,0.57,0.57,0.54,0.58,0.5,0.58
